ACCTG:Beginning Accounting:20
COMSC:Java Programming:49
COMSC:C++ Programming:55
ACCTG:Advanced Accounting:40
MATH:Statistics:45
ENGLISH:Critical Thinking:60
CHEM:Organic Chemistry:72
MATH:Pre-calculus:40
ACCTG:Intermediate Accounting:25
SHORT:not enough entries
PHYS:Electricity & Magnetism:40
MATH:Advanced Algebra:40
ENGLISH:World Literature:60
CHEM:Inorganic Chemistry:55
LONG:too many entries:55:79
PHYS:Mechanics:35
COMSC:Computer Architecture:44
BAD:Non-number on line:twelve
ENGLISH:Creative Writing:65
ENGLISH:American Literature:58
CHEM:Laboratory:20
PHYS:Quantum Dynamics:75
